popularity,year,rating,name,director,actors
81,2002,8.3,Manmadhudu,Vijay K. Bhaskar,"['Nagarjuna Akkineni', 'Sonali Bendre', 'Anshu', 'Chandramohan']"
82,2015,7.8,Bhale Bhale Magadivoy,Maruthi Dasari,"['Nani', 'Lavanya Tripathi', 'Praveen', 'Ajay']"
83,2018,8.2,Yatra,Mahi v Raghav,"['Mammootty', 'Nassar', 'Anasuya Bharadwaj', 'Suhasini']"
84,1989,8.1,Shiva,Ram Gopal Varma,"['Nagarjuna Akkineni', 'Amala Akkineni', 'Raghuvaran', 'J.D. Chakravarthi']"
85,2017,6.0,Khaidi No. 150,V.V. Vinayak,"['Chiranjeevi', 'Kajal Aggarwal', 'Tarun Arora', 'Ali']"
86,2011,6.6,Oosaravelli,Surender Reddy,"['N.T. Rama Rao Jr.', 'Tamannaah Bhatia', 'Prakash Raj', 'Vidyut Jammwal']"
87,2019,7.2,Majili,Shiva Nirvana,"['Samantha Akkineni', 'Naga Chaitanya Akkineni', 'Atul Kulkarni', 'Rajshri Nair']"
88,2021,8.4,Naandhi,Vijay Kanakamedala,"['Allari Naresh', 'Varalaxmi Sarathkumar', 'Harish Uthaman', 'Priyadarshi']"
89,2011,7.1,Mr Perfect,Dasaradh,"['Prabhas', 'Kajal Aggarwal', 'Taapsee Pannu', 'Raghu Babu']"
90,2008,8.3,Gamyam,Radha Krishna Jagarlamudi,"['Sharwanand', 'Allari Naresh', 'Kamalinee Mukherjee', 'Giri Babu']"
91,2019,8.3,Mathu Vadalara,Ritesh Rana,"['Sri Simha Koduri', 'Satya', 'Naresh Agastya', 'Athulya Chandra']"
92,2020,7.9,Middle Class Melodies,Vinod Anantoju,"['Abhiram', 'Achila', 'Ajay', 'Vinod Anantoju']"
93,2010,6.6,Orange,Bhaskar,"['Ram Charan', ""Genelia D'Souza"", 'Shazahn Padamsee', 'Prabhu']"
94,2015,7.9,Kanche,Radha Krishna Jagarlamudi,"['Varun Tej', 'Pragya Jaiswal', 'Srinivas Avasarala', 'Nikitin Dheer']"
95,2016,4.3,Brahmotsavam,Srikanth Addala,"['Mahesh Babu', 'Kajal Aggarwal', 'Samantha Akkineni', 'Pranitha']"
96,2005,7.8,Nuvvostanante Nenoddantana,Prabhu Deva,"['Trisha Krishnan', 'Siddharth', 'Srihari', 'Prakash Raj']"
97,2004,7.8,Malliswari,Vijay K. Bhaskar,"['Venkatesh Daggubati', 'Katrina Kaif', 'Kota Srinivasa Rao', 'Ganesh Babu']"
98,2019,8.1,Brochevarevarura,Vivek Athreya,"['Sree Vishnu', 'Rahul Ramakrishna', 'Priyadarshi', 'Nivetha Thomas']"
99,2019,7.7,Gang Leader,Vikram K. Kumar,"['Nani', 'Sukumar', 'Priyanka Arulmohan', 'Anish Kuruvilla']"
100,2018,7.0,Taxiwaala,Rahul Sankrityan,"['Vijay Deverakonda', 'Priyanka Jawalkar', 'Malavika Nair', 'Madhunandan']"
101,2013,5.5,Naayak,V.V. Vinayak,"['Ram Charan', 'Kajal Aggarwal', 'Amala Paul', 'Anandhi']"
102,1983,8.8,Sagara Sangamam,K. Viswanath,"['Kamal Haasan', 'Jaya Prada', 'Sarath Babu', 'Sailaja S.P.']"
103,2010,7.7,Ye Maaya Chesave,Gautham Vasudev Menon,"['Naga Chaitanya Akkineni', 'Samantha Akkineni', 'Krishnudu', 'Sanjay Swaroop']"
104,2018,7.0,U-Turn,Pawan Kumar,"['Samantha Akkineni', 'Aadhi', 'Bhoomika Chawla', 'Rahul Ravindran']"
105,2004,8.6,Aa Naluguru,Chandra Siddhartha,"['Rajendra Prasad', 'Aamani', 'Raja', 'Raghu Babu']"
106,2015,5.8,Rudhramadevi,Gunasekhar,"['Anushka Shetty', 'Allu Arjun', 'Rana Daggubati', 'Vikramjeet Virk']"
107,2021,6.9,Uppena,Buchi Babu Sana,"['Panja Vaisshnav Tej', 'Krithi Shetty', 'Vijay Sethupathi', 'Sai Chand']"
108,2018,7.0,Bhaagamathie,Ashok G.,"['Anushka Shetty', 'Surekha Vani', 'Asha Sharath', 'Jayaram']"
109,2011,7.8,Pilla Zamindar,Ashok G.,"['Nani', 'Haripriya', 'Bindhu Madhavi', 'Rao Ramesh']"
110,2018,4.5,Agnyaathavaasi,Trivikram Srinivas,"['Pawan Kalyan', 'Keerthy Suresh', 'Anu Emmanuel', 'Aadhi']"
111,2009,7.4,Arundhati,Kodi Ramakrishna,"['Anushka Shetty', 'Sonu Sood', 'Divya Nagesh', 'Aachi Manorama']"
112,2017,7.5,Ninnu Kori,Shiva Nirvana,"['Nani', 'Nivetha Thomas', 'Aadhi', 'Tanikella Bharani']"
113,2019,3.3,Vinaya Vidheya Rama,Boyapati Srinu,"['Ram Charan', 'Kiara Advani', 'Aadhithya', 'Aadhya Aarnav']"
114,1987,8.9,Aha Naa Pellanta,Jandhyala,"['Rajendra Prasad', 'Rajani', 'Nuthan Prasad', 'Kota Srinivasa Rao']"
115,2012,5.7,Cameraman Gangatho Rambabu,Puri Jagannadh,"['Pawan Kalyan', 'Tamannaah Bhatia', 'Prakash Raj', 'Ali']"
116,I) (2010,7.3,Darling,A. Karunakaran,"['Prabhas', 'Kajal Aggarwal', 'Shraddha Das', 'Prabhu']"
117,2006,7.1,Happy,A. Karunakaran,"['Allu Arjun', ""Genelia D'Souza"", 'Manoj Bajpayee', 'Brahmanandam']"
118,2013,5.8,Iddarammayilatho,Puri Jagannadh,"['Allu Arjun', 'Amala Paul', 'Catherine Tresa', 'Nassar']"
119,2010,8.3,Prasthanam,Deva Katta,"['Rashmi Gautam', 'Jeeva', 'Sundeep Kishan', 'Vennela Kishore']"
120,2011,7.0,100% Love,Sukumar,"['Naga Chaitanya Akkineni', 'Tamannaah Bhatia', 'Tara Alisha', 'K.R. Vijaya']"
121,2008,7.1,Parugu,Bhaskar,"['Allu Arjun', 'Sheela Kaur', 'Poonam Bajwa', 'Prakash Raj']"
122,1999,7.9,Thammudu,P.A. Arun Prasad,"['Preeti Jhangiani', 'Aditi Govitrikar', 'Achyuth', 'Pawan Kalyan']"
123,2003,7.4,Simhadri,S.S. Rajamouli,"['N.T. Rama Rao Jr.', 'Bhoomika Chawla', 'Ankita', 'Nassar']"
124,2011,7.7,Ala Modalaindi,B.V. Nandini Reddy,"['Nani', 'Nithya Menen', 'Sneha Ullal', 'Kriti Kharbanda']"
125,2020,5.0,World Famous Lover,Kranthi Madhav,"['Vijay Deverakonda', 'Raashi Khanna', 'Aishwarya Rajesh', 'Catherine Tresa']"
126,2010,7.4,Maryada Ramanna,S.S. Rajamouli,"['Suneel', 'Saloni Aswani', 'Nagineedu', 'Brahmaji']"
127,2012,4.4,Rachcha,Sampath Nandi,"['Ram Charan', 'Tamannaah Bhatia', 'Ajmal Ameer', 'Kota Srinivasa Rao']"
128,2007,7.5,Dhee,Sreenu Vaitla,"['Vishnu Manchu', ""Genelia D'Souza"", 'Srihari', 'Ajay']"
129,1991,8.4,Aditya 369,Singeetam Srinivasa Rao,"['Nandamuri Balakrishna', 'Mohini', 'Amrish Puri', 'Suthi Velu']"
130,2018,7.3,Tholi Prema,Venky Atluri,"['Varun Tej', 'Raashi Khanna', 'Hyper Aadi', 'Darbha Appaji Ambarisha']"
131,2010,6.8,Adhurs,V.V. Vinayak,"['N.T. Rama Rao Jr.', 'Nayanthara', 'Sheela Kaur', 'Ananth']"
132,2020,6.6,Bheeshma,Venky Kudumula,"['Nithiin', 'Rashmika Mandanna', 'Rajiv Kumar A.', 'Ajay']"
133,1989,8.3,Gitanjali,Mani Ratnam,"['Nagarjuna Akkineni', 'Girija Shettar', 'Vijayakumar', 'Radhabai']"
134,2002,7.4,Indra,Gopal B.,"['Chiranjeevi', 'Sonali Bendre', 'Aarthi Agarwal', 'Prakash Raj']"
135,2016,6.8,A Aa,Trivikram Srinivas,"['Nithiin', 'Samantha Akkineni', 'Anupama Parameswaran', 'Nadia Moidu']"
136,2015,7.6,Yevade Subramanyam,Nag Ashwin,"['Vijay Deverakonda', 'Showkar Janaki', 'Krishnamraju', 'Pavitra Lokesh']"
137,2018,6.9,Rx 100,Ajay Bhupathi,"['Kartikeya Gummakonda', 'Payal Rajput', 'Ramki', 'Rao Ramesh']"
138,2019,6.2,F2: Fun and Frustration,Anil Ravipudi,"['Tamannaah Bhatia', 'Mehreen Pirzada', 'Prakash Raj', 'Nassar']"
139,2003,7.8,Tagore,V.V. Vinayak,"['Chiranjeevi', 'Jyotika', 'Shriya Saran', 'Suneel']"
140,2017,6.8,The House Next Door,Milind Rau,"['Prakash Belawadi', 'Khushi Hajare', 'Md Asraful Hoque', 'Andrea Jeremiah']"
141,2008,6.6,Bujjigaadu: Made in Chennai,Puri Jagannadh,"['Prabhas', 'Trisha Krishnan', 'Mohan Babu', 'Sanjjanaa Galrani']"
142,2017,5.7,Katamarayudu,Kishore Kumar Pardasani,"['Pawan Kalyan', 'Shruti Haasan', 'Ajay', 'Rao Ramesh']"
143,2016,7.5,Krishna Gaadi Veera Prema Gaadha,Hanumantha Rao Raghavapudi,"['Nani', 'Mehreen Pirzada', 'Murli Sharma', 'Sampath Raj']"
144,2004,7.4,Sye,S.S. Rajamouli,"['Nithiin', ""Genelia D'Souza"", 'Preeti Nigam', 'Shashank']"
145,2018,7.9,Ee Nagaraniki Emaindi,Tharun Bhascker Dhaassyam,"['Vishwak Sen', 'Srinivas Volety', 'Abhinav Gomatam', 'Venkatesh Kakumanu']"
146,2017,6.4,Gautamiputra Satakarni,Radha Krishna Jagarlamudi,"['Nandamuri Balakrishna', 'Hema Malini', 'Shriya Saran', 'Kabir Bedi']"
147,1980,8.7,Sankarabharanam,K. Viswanath,"['J.V. Somayajulu', 'Manju Bhargavi', 'Tulasi', 'Allu Ramalingaiah']"
148,2014,5.7,Govindudu Andari Vaadele,Krishna Vamsi,"['Ram Charan', 'Kajal Aggarwal', 'Srikanth', 'Kamalinee Mukherjee']"
149,2017,6.5,Nenu Local,Trinadha Rao Nakkina,"['Nani', 'Keerthy Suresh', 'Naveen Chandra', 'Sachin Khedekar']"
150,2019,7.4,Oh Baby...,B.V. Nandini Reddy,"['Element', 'Lakshmi', 'Rajendra Prasad', 'Teja Sajja']"
151,2018,7.1,Hello Guru Prema Kosame,Trinadha Rao Nakkina,"['Ram Pothineni', 'Anupama Parameswaran', 'Pranitha', 'Prakash Raj']"
152,2004,7.9,Anand,Sekhar Kammula,"['Raja', 'Kamalinee Mukherjee', 'Anuj Gurwara', 'Master Abhijit']"
153,2013,5.1,Ramayya Vastavayya,Harish Shankar,"['N.T. Rama Rao Jr.', 'Samantha Akkineni', 'Shruti Haasan', 'Vidyullekha Raman']"
154,2012,5.1,Dhammu,Boyapati Srinu,"['N.T. Rama Rao Jr.', 'Trisha Krishnan', 'Karthika Nair', 'Nassar']"
155,2016,7.2,Gentleman,Mohana Krishna Indraganti,"['Nani', 'Surabhi', 'Vennela Kishore', 'Tanikella Bharani']"
156,2007,5.3,Chirutha,Puri Jagannadh,"['Ram Charan', 'Neha Sharma', 'Prakash Raj', 'Ashish Vidyarthi']"
157,2017,5.9,MCA Middle Class Abbayi,Venu Sriram,"['Nani', 'Sai Pallavi', 'Bhoomika Chawla', 'Rajeev Kanakala']"
158,III) (2017,7.3,Hello,Vikram K. Kumar,"['Akhil Akkineni', 'Kalyani Priyadarshan', 'Jagapathi Babu', 'Ramya Krishnan']"
159,2019,5.7,NTR: Kathanayakudu,Radha Krishna Jagarlamudi,"['Nandamuri Balakrishna', 'Vidya Balan', 'Satyanarayana Kaikala', 'Nandamuri Kalyan Ram']"
160,1991,8.1,Kshana Kshanam,Ram Gopal Varma,"['Sridevi', 'Venkatesh Daggubati', 'Paresh Rawal', 'Rami Reddy']"
161,2011,4.4,Badrinath,V.V. Vinayak,"['Allu Arjun', 'Tamannaah Bhatia', 'Prakash Raj', 'Kelly Dorji']"
162,2019,7.2,Chitralahari,Thirumala Kishore,"['Nivetha Pethuraj', 'Rohini Hattangadi', 'Suneel', 'V. Jayaprakash']"
163,1988,8.5,Rudra Veena,K. Balachander,"['Chiranjeevi', 'Gemini Ganesan', 'Shobana', 'Devilalita']"
164,2007,5.6,Athidhi,Surender Reddy,"['Mahesh Babu', 'Amrita Rao', 'Ajay', 'Baby Anni']"
165,II) (2014,6.3,Legend,Boyapati Srinu,"['Nandamuri Balakrishna', 'Jagapathi Babu', 'Radhika Apte', 'Sonal Chauhan']"
166,2016,6.9,Nenu Sailaja,Thirumala Kishore,"['Keerthy Suresh', 'Ram Pothineni', 'Sathyaraj', 'Rohini']"
167,2019,5.6,iSmart Shankar,Puri Jagannadh,"['A. Sreedhar', 'Nidhhi Agerwal', 'Ram Pothineni', 'Ashish Vidyarthi', 'Nabha Natesh']"
168,2000,7.2,Badri,Puri Jagannadh,"['Ameesha Patel', 'Renu Desai', 'Prakash Raj', 'Kota Srinivasa Rao']"
169,2012,7.3,Ishq,Vikram K. Kumar,"['Nithiin', 'Nithya Menen', 'Nagineedu', 'Ajay']"
170,2015,5.5,Bruce Lee: The Fighter,Sreenu Vaitla,"['Ram Charan', 'Rakul Preet Singh', 'Ali', 'Tanikella Bharani']"
171,1997,8.0,Annamayya,K. Raghavendra Rao,"['Nagarjuna Akkineni', 'Suman', 'Bhanupriya', 'Mohan Babu']"
172,2014,4.9,Rabhasa,Santosh Srinivas,"['N.T. Rama Rao Jr.', 'Samantha Akkineni', 'Pranitha', 'Ajay']"
173,2009,6.1,Billa,Meher Ramesh,"['Prabhas', 'Anushka Shetty', 'Hansika Motwani', 'Namitha']"
174,2004,6.5,Arjun,Gunasekhar,"['Jasti Hemambar', 'Mahesh Babu', 'Shriya Saran', 'Kirti Reddy', 'Raja']"
175,2003,6.7,Nijam,Teja,"['Mahesh Babu', 'Tottempudi Gopichand', 'Raasi', 'Rameshwari']"
176,2006,5.1,Sainikudu,Gunasekhar,"['Mahesh Babu', 'Trisha Krishnan', 'Irrfan Khan', 'Prakash Raj']"
177,II) (2012,4.8,Rebel,Lawrence Raghavendra,"['Prabhas', 'Tamannaah Bhatia', 'Deeksha Seth', 'Kelly Dorji']"
178,I) (2021,6.7,Red,Thirumala Kishore,"['Ram Pothineni', 'Nivetha Pethuraj', 'Malvika Sharma', 'Amritha Aiyer']"
179,2001,6.8,Student No. 1,S.S. Rajamouli,"['N.T. Rama Rao Jr.', 'Ali', 'Tanikella Bharani', 'Brahmanandam']"
180,2021,6.3,Wild Dog,Ahishor Solomon,"['Nagarjuna Akkineni', 'Kelly Dorji', 'Avijit Dutt', 'Bilal Hossein']"
181,2015,7.7,Kumari 21F,Palnati Surya Pratap,"['Aravind', 'Bhanu Sri', 'Vajja Venkata Giridhar', 'Apoorva Gowda']"
182,2004,7.4,Shankar Dada MBBS,Jayant Paranji,"['Chiranjeevi', 'Meka Srikanth', 'Sonali Bendre', 'Paresh Rawal']"
183,2018,7.6,Sammohanam,Mohana Krishna Indraganti,"['Sudheer Babu Posani', 'Aditi Rao Hydari', 'Vamsi Raghava Yenumula', 'Darbha Appaji Ambarisha']"
